id;certificate_name;institution;certificate_date;certification_summary
1;monitor Rubber deploy;Supervisor HDD;2024-03-07;../fake-data/blob/hipster.txt
2;Rubber Soap;Iran;2024-03-08;../fake-data/blob/hipster.txt
3;Dynamic;Account online;2024-03-07;../fake-data/blob/hipster.txt
4;Kwacha HDD;Massachusetts deposit;2024-03-08;../fake-data/blob/hipster.txt
5;Florida Ergonomic;attitude;2024-03-07;../fake-data/blob/hipster.txt
6;multi-byte National Minnesota;extensible virtual;2024-03-07;../fake-data/blob/hipster.txt
7;Fantastic;Jewelery;2024-03-07;../fake-data/blob/hipster.txt
8;Plastic wireless magenta;exuding Lilangeni blue;2024-03-07;../fake-data/blob/hipster.txt
9;Optional expedite Facilitator;Rubber Multi-channelled Tunisian;2024-03-07;../fake-data/blob/hipster.txt
10;XSS Markets Kentucky;eyeballs;2024-03-07;../fake-data/blob/hipster.txt
