id;school_name;city;state;start_date;end_date;degree;fieldof_study;graduation_date;education_summary
1;reboot;South Claudiestad;Strategist Lakes;2024-03-08;2024-03-07;mobile;Avon SCSI;2024-03-07;../fake-data/blob/hipster.txt
2;Enterprise-wide;Lake Schuylerton;parse;2024-03-07;2024-03-07;frame;Implementation;2024-03-08;../fake-data/blob/hipster.txt
3;model Metal Fresh;Auburn;Wells;2024-03-07;2024-03-07;Illinois redefine web-enabled;virtual Intelligent Practical;2024-03-07;../fake-data/blob/hipster.txt
4;Jewelery red;North Claireberg;override Rapids wireless;2024-03-08;2024-03-07;invoice Ameliorated;PNG grey Metal;2024-03-07;../fake-data/blob/hipster.txt
5;navigate;Greenville;visionary;2024-03-08;2024-03-07;Legacy;Pakistan;2024-03-07;../fake-data/blob/hipster.txt
6;Chicken;Marksland;invoice Refined reinvent;2024-03-07;2024-03-07;Pass copying Steel;backing;2024-03-08;../fake-data/blob/hipster.txt
7;Plastic;Livermore;Cambridgeshire Car;2024-03-07;2024-03-07;Wooden;invoice 1080p leverage;2024-03-08;../fake-data/blob/hipster.txt
8;Ergonomic Product SDR;Jamiebury;e-services Spring;2024-03-07;2024-03-07;Practical monitor Delaware;Ergonomic Dollar facilitate;2024-03-08;../fake-data/blob/hipster.txt
9;optical Bedfordshire;Sawaynside;interface back-end Small;2024-03-07;2024-03-07;Strategist Expressway circuit;primary Spring;2024-03-07;../fake-data/blob/hipster.txt
10;Cotton Pants Manor;South Rylan;Berkshire;2024-03-07;2024-03-08;pixel Rustic PCI;Digitized Music policy;2024-03-07;../fake-data/blob/hipster.txt
