id;position_title;company_name;start_date;end_date;work_summary
1;application regional;compress Tuna solid;2024-03-07;2024-03-07;../fake-data/blob/hipster.txt
2;BEAC Enterprise-wide;metrics;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
3;Pizza;B2B Tala;2024-03-08;2024-03-08;../fake-data/blob/hipster.txt
4;Auto;Personal;2024-03-07;2024-03-07;../fake-data/blob/hipster.txt
5;e-enable;Metal;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
6;Cotton action-items;SQL Polynesia;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
7;withdrawal;Awesome;2024-03-07;2024-03-08;../fake-data/blob/hipster.txt
8;Mouse Program;Clothing;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
9;Factors Movies;Metical Steel;2024-03-07;2024-03-08;../fake-data/blob/hipster.txt
10;Wooden Paradigm withdrawal;Outdoors;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
