id;job_title;employer;company_name;address;start_date;end_date;internship_summary
1;Legacy Creative Representative;Fish leading;sensor Montana Business-focused;Salad capacity;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
2;Product Usability Strategist;withdrawal Incredible Steel;Rubber violet;intuitive Optimized drive;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
3;Dynamic Configuration Officer;access;Industrial Avon;Soft;2024-03-07;2024-03-07;../fake-data/blob/hipster.txt
4;Human Implementation Specialist;mission-critical Grass-roots microchip;Arab;Intelligent Health parsing;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
5;Customer Accounts Orchestrator;revolutionary mesh Practical;optical compressing navigate;SMS;2024-03-07;2024-03-07;../fake-data/blob/hipster.txt
6;Global Marketing Consultant;Texas;back deposit;deposit Handcrafted grey;2024-03-07;2024-03-07;../fake-data/blob/hipster.txt
7;Direct Intranet Designer;override SMS;Account primary withdrawal;SAS;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
8;Regional Factors Representative;Concrete Keyboard;payment;generating Chief parallelism;2024-03-07;2024-03-07;../fake-data/blob/hipster.txt
9;Customer Functionality Director;bandwidth-monitored auxiliary Architect;drive Burgs;killer;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
10;International Creative Facilitator;Pants Solutions;Haven Accounts CSS;Internal;2024-03-08;2024-03-07;../fake-data/blob/hipster.txt
